"partner","description","cif_value_cedi","net_weight_kg","net_weight_cedi_kg","share_percent"
"NIGERIA","Food and live animals",52510742,15063,3486,0
"NORWAY","Food and live animals",8929570,19635,455,0
"PAKISTAN","Food and live animals",1798395,190,9465,0
"PARAGUAY","Food and live animals",1,1,1,0
"POLAND","Food and live animals",7270297,2810,2587,0
"PORTUGAL","Food and live animals",2549568,600,4249,0
"QATAR","Food and live animals",456760,200,2284,0
"ROMANIA","Food and live animals",23808014,35700,667,0
"SAO TOME A","Food and live animals",175492,100,1755,0
"SAUDI ARAB","Food and live animals",47234838,21955,2151,0.03
"SENEGAL","Food and live animals",799832,700,1143,0
"SIERRA LEO","Food and live animals",5539397,2450,2261,0
"SINGAPORE","Food and live animals",559191775,510805,1095,0.03
"SOUTH AFRI","Food and live animals",10754090,10217,1053,0
"ZIMBABWE","Food and live animals",5814509,1191,4882,0
"SPAIN","Food and live animals",76298255,46081,1656,0
"SURINAM","Food and live animals",406912,100,4069,0
"SWAZILAND","Food and live animals",753052,2065,365,0
"SWEDEN","Food and live animals",14991801,5920,2532,0
"SWITZWRLAN","Food and live animals",286851680,106503,2693,0.02
"THAILAND","Food and live animals",7570448,2505,3022,0
"UNITED ARA","Food and live animals",11177098,2895,3861,0
"TUNISIA","Food and live animals",50285,7,7184,0
"TURKEY","Food and live animals",629703,58,10857,0
"UGANDA","Food and live animals",499801,261,1915,0
"UKRAINIAN","Food and live animals",999492,2080,481,0
"USSR","Food and live animals",82261415,77907,1056,0
"EGYPT","Food and live animals",7161612,3491,2051,0
"UNITED KIN","Food and live animals",3287323002,2509336,1310,0.18
"TANZANIA","Food and live animals",6964812,920,7570,0
"UNITED STA","Food and live animals",1597012760,1551702,1029,0.09
"VENEZUELA","Food and live animals",1048745,250,4195,0
"WAKE ISLAN","Food and live animals",50568,130,389,0
"SAMOA","Food and live animals",7000355,793,8828,0
"YEMEN","Food and live animals",100367,200,502,0
"ZAMBIA","Food and live animals",867373,2280,380,0
"BELGUIM","Poultry,live, weighing not more than 185 grammes",37492078,2237,16760,0
"NETHERLAND","Poultry,live, weighing not more than 185 grammes",7606033,600,12677,0
"UNITED KIN","Poultry,live, weighing not more than 185 grammes",8635001,560,15420,0
"HONG KOONG","Live animals, nes",31200,6,5200,0
"MALAWI","Live animals, nes",25250,40,631,0
"UNITED KIN","Live animals, nes",83550,10,8355,0
"FRANCE","Meat of bovine animals, fresh or chilled, with bone in",3653877,10000,365,0
"BELGUIM","Meat of bovine animals, frozen, with bone in",7087825,21023,337,0
"BENIN","Meat of bovine animals, frozen, with bone in",800360,25000,32,0
"FRANCE","Meat of bovine animals, frozen, with bone in",4158326,10000,416,0
"GERMANY, F","Meat of bovine animals, frozen, with bone in",16679968,36448,458,0
"NETHERLAND","Meat of bovine animals, frozen, with bone in",26567484,49283,539,0
"UNITED KIN","Meat of bovine animals, frozen, with bone in",929242,890,1044,0
"UNITED STA","Meat of bovine animals, frozen, with bone in",4729269,399,11853,0
"BELGUIM","Meat of bovine animals, frozen, boneless",265741365,813625,327,0.01
"DENMARK","Meat of bovine animals, frozen, boneless",208575652,537335,388,0.01
"FRANCE","Meat of bovine animals, frozen, boneless",1938610255,4902916,395,0
"FRNCH POL","Meat of bovine animals, frozen, boneless",34283781,96000,357,0
"GERMANY, F","Meat of bovine animals, frozen, boneless",87056393,199987,435,0
"IRELAND","Meat of bovine animals, frozen, boneless",23390982,49933,468,0
"ITALY","Meat of bovine animals, frozen, boneless",37614450,94875,396,0
"NETHERLAND","Meat of bovine animals, frozen, boneless",1422273503,3310278,430,0.08
"SINGAPORE","Meat of bovine animals, frozen, boneless",8688935,23000,378,0
"SPAIN","Meat of bovine animals, frozen, boneless",339961714,758716,448,0.02
"UNITED KIN","Meat of bovine animals, frozen, boneless",656446566,1585953,414,0.04
"UNITED STA","Meat of bovine animals, frozen, boneless",92454248,142637,648,0
"FRANCE","Meat of sheep, fresh or chilled",7748,20,387,0
"UNITED KIN","Meat of sheep, fresh or chilled",2995998,570,5256,0
"UNITED STA","Meat of sheep, fresh or chilled",3005,2,1503,0
"FRANCE","Meat of sheep, frozen",4016984,280,14346,0
"NETHERLAND","Meat of sheep, frozen",1159730,281,4127,0
"UNITED KIN","Meat of sheep, frozen",393028,648,607,0
"AUSTRALIA","Meat of goats, fresh, chilled or frozen",6500416,25000,260,0
"UNITED KIN","Meat of goats, fresh, chilled or frozen",907987,465,1953,0
"FRANCE","Meat of swine, fresh or chilled",8940,20,447,0
"UNITED KIN","Meat of swine, fresh or chilled",108348,52,2084,0
"ITALY","Meat of swine, frozen",499720,50,9994,0
"NETHERLAND","Meat of swine, frozen",3061974,281,10897,0
"UNITED KIN","Meat of swine, frozen",1159470,3158,367,0
"UNITED STA","Meat of swine, frozen",348580,100,3486,0
"DENMARK","Poultry not cut in pieces, fresh or chilled",12556092,2500,5022,0
"FRANCE","Poultry not cut in pieces, fresh or chilled",4044970,6914,585,0
"BELGIUM","Poultry not cut in pieces, frozen",20367349,34720,587,0
"DENMARK","Poultry not cut in pieces, frozen",22115838,75723,292,0
"FRANCE","Poultry not cut in pieces, frozen",9835099,15516,634,0
"NETHERLAND","Poultry not cut in pieces, frozen",4668682,10195,458,0
"UNITED KIN","Poultry not cut in pieces, frozen",14473361,31736,456,0
"UNITED STA","Poultry not cut in pieces, frozen",38946398,26818,1452,0
"BELGIUM","Poultry cuts and offal (other than liver), frozen",107943477,224311,481,0.01
"FRANCE","Poultry cuts and offal (other than liver), frozen",906738430,1960397,463,0.05
"IRELAND","Poultry cuts and offal (other than liver), frozen",16446240,42458,387,0
"ITALY","Poultry cuts and offal (other than liver), frozen",18539369,48450,383,0
"NETHERLAND","Poultry cuts and offal (other than liver), frozen",318838890,631728,505,0.02
"UNITED KIN","Poultry cuts and offal (other than liver), frozen",95682193,185875,515,0.01
"UNITED STA","Poultry cuts and offal (other than liver), frozen",45975838,88262,521,0
"DENMARK","Edible offal of bovine animals, frozen",7963472,25786,309,0
"NETHERLAND","Edible offal of bovine animals, frozen",1380398,1851,746,0
"UNITED STA","Edible offal of bovine animals, frozen",170684,186,918,0
"NETHERLAND","Edible offal of swine, frozen",2387868,13658,175,0
"UNITED KIN","Edible offal of swine, frozen",148133,420,353,0
"NETHERLAND","Edible offal of sheep, goats, horses, nes, frozen",85725,281,305,0
"DENMARK","Hams, shoulders and cuts thereof, with bone in",321000,990,324,0
"NETHERLAND","Hams, shoulders and cuts thereof, with bone in",1039781,281,3700,0
"UNITED KIN","Hams, shoulders and cuts thereof, with bone in",235158,1785,132,0
"BELGIUM","Other bacon, ham and other dried, salted or smoked meat, meals of swine",18690135,76820,243,0
"DENMARK","Other bacon, ham and other dried, salted or smoked meat, meals of swine",192219503,742503,259,0.01
"FRANCE","Other bacon, ham and other dried, salted or smoked meat, meals of swine",2129440,7342,290,0
"GERMANY, F","Other bacon, ham and other dried, salted or smoked meat, meals of swine",14267024,33764,423,0
"NETHERLAND","Other bacon, ham and other dried, salted or smoked meat, meals of swine",229529691,517780,443,0.01
"UNITED KIN","Other bacon, ham and other dried, salted or smoked meat, meals of swine",14620877,49391,296,0
"UNITED STA","Other bacon, ham and other dried, salted or smoked meat, meals of swine",9166452,22880,401,0
"CANADA","Meat and edible offal, salted, in brine, dried or smoked, nes",6010,10,601,0
"NETHERLAND","Meat and edible offal, salted, in brine, dried or smoked, nes",3442358,1060,3248,0
"UNITED KIN","Meat and edible offal, salted, in brine, dried or smoked, nes",338471,338,1001,0
"DENMARK","Sausages and similar products; food preparations based on these products",7556020,12573,601,0
"FRANCE","Sausages and similar products; food preparations based on these products",257228,741,347,0
"GERMANY, F","Sausages and similar products; food preparations based on these products",6611,10,661,0
"ITALY","Sausages and similar products; food preparations based on these products",2137847,343,6233,0
"LEBANON","Sausages and similar products; food preparations based on these products",1767158,3190,554,0
"NETHERLAND","Sausages and similar products; food preparations based on these products",3703178,1758,2106,0
"UNITED KIN","Sausages and similar products; food preparations based on these products",5616756,25629,219,0
"UNITED STA","Sausages and similar products; food preparations based on these products",5790430,5431,1066,0
"ARGENTINA","Preparations of poultry",53746190,42900,1253,0
"GERMANY, F","Preparations of poultry",16444,94,175,0
"LEBANON","Preparations of poultry",15496,200,77,0
"SOUTH AFRI","Preparations of poultry",32454,80,406,0
"UNITED KIN","Preparations of poultry",247153,8608,29,0
"UNITED STA","Preparations of poultry",6611,4,1653,0
"NETHERLAND","Preparations of swine meat, including mixtures, nes",396030,600,660,0
"UNITED KIN","Preparations of swine meat, including mixtures, nes",419617,942,445,0
"UNITED STA","Preparations of swine meat, including mixtures, nes",9074972,7441,1220,0
"ARGENTINA","Preparations of meat of bovine animals",110372502,99628,1108,0
"BELGIUM","Preparations of meat of bovine animals",21092,3,7031,0
"CANADA","Preparations of meat of bovine animals",39666,3400,12,0
"FINLAND","Preparations of meat of bovine animals",18111135,17136,1057,0
"GERMANY, F","Preparations of meat of bovine animals",13499,112,121,0
"NETHERLAND","Preparations of meat of bovine animals",381727,506,754,0
"SPAIN","Preparations of meat of bovine animals",22868651,21500,1064,0
"SWITZERLAN","Preparations of meat of bovine animals",9015,10,902,0
"UNITED KIN","Preparations of meat of bovine animals",2883601,10581,273,0
"UNITED STA","Preparations of meat of bovine animals",5124219,1601,3201,0
"UNITED KIN","Other prepared meat or meat offal, nes",865142,2365,366,0
"UNITED STA","Other prepared meat or meat offal, nes",1009682,811,1245,0
"FRANCE","Milk of a fat content, by weight, =<1%, not conc. Or sw.",9642707,86015,112,0
"UNITED KIN","Milk of a fat content, by weight, =<1%, not conc. Or sw.",1447546,2247,644,0
"BELGIUM","Milk and cream, of fat content, by weight, 1%, not conc. or sw.",15697291,62874,250,0
"FRANCE","Milk and cream, of fat content, by weight, 1%, not conc. or sw.",6101271,6396,954,0
"GERMANY, F","Milk and cream, of fat content, by weight, 1%, not conc. or sw.",6337705,40517,156,0
"UNITED KIN","Milk and cream, of fat content, by weight, 1%, not conc. or sw.",244006,520,469,0
"NETHERLAND","Cream of a fat content, by weight, >6%, not conc. or sw.",3073148,18500,166,0
"UNITED KIN","Cream of a fat content, by weight, >6%, not conc. or sw.",3046579,14060,217,0
"CZECHOSLOV","Milk, in solid form, of a fat content, by weight, =<1.5%",172044230,165000,1043,0
"DENMARK","Milk, in solid form, of a fat content, by weight, =<1.5%",240729065,165000,1459,0
"FRANCE","Milk, in solid form, of a fat content, by weight, =<1.5%",1204404,340,3542,0
"GERMANY, F","Milk, in solid form, of a fat content, by weight, =<1.5%",598809112,485072,1234,0
"IRELAND","Milk, in solid form, of a fat content, by weight, =<1.5%",14672910,7920,1853,0
"ISRAEL","Milk, in solid form, of a fat content, by weight, =<1.5%",2675,14,191,0
"ITALY","Milk, in solid form, of a fat content, by weight, =<1.5%",395757,146,2711,0
"NETHERLAND","Milk, in solid form, of a fat content, by weight, =<1.5%",224028330,213612,1049,0
"NIGERIA","Milk, in solid form, of a fat content, by weight, =<1.5%",23968481,17000,1410,0
"POLAND","Milk, in solid form, of a fat content, by weight, =<1.5%",143680000,210750,1156,0
"UNITED KIN","Milk, in solid form, of a fat content, by weight, =<1.5%",16710517,16087,1039,0
"UNITED STA","Milk, in solid form, of a fat content, by weight, =<1.5%",187455933,168044,1116,0
"CZECHOSLOV","Milk and cream, in solid form, of a fat content, by weight, >1.5%",51585454,40000,1290,0
"DENMARK","Milk and cream, in solid form, of a fat content, by weight, >1.5%",47163042,25289,1865,0
"GERMANY, F","Milk and cream, in solid form, of a fat content, by weight, >1.5%",16042605,18100,886,0
"NETHERLAND","Milk and cream, in solid form, of a fat content, by weight, >1.5%",674206981,515536,1308,0
"POLAND","Milk and cream, in solid form, of a fat content, by weight, >1.5%",5547434,46500,1192,0
"SOUTH AFRI","Milk and cream, in solid form, of a fat content, by weight, >1.5%",223572,40,5589,0
"UNITED KIN","Milk and cream, in solid form, of a fat content, by weight, >1.5%",14742966,25604,576,0
"UNITED STA","Milk and cream, in solid form, of a fat content, by weight, >1.5%",20771653,45696,455,0
"FRANCE","Milk and cream, concentrated but not in soild forms, not sweetened",10476571,17740,591,0
"GERMANY, F","Milk and cream, concentrated but not in soild forms, not sweetened",902340,16000,65,0
"NETHERLAND","Milk and cream, concentrated but not in soild forms, not sweetened",201791310,251369,803,0
"UNITED KIN","Milk and cream, concentrated but not in soild forms, not sweetened",469737,501,938,0
"DENMARK","Milk and cream, not in solid form, containng sweetening matter",63371494,23276,2723,0
"GERMANY, F","Milk and cream, not in solid form, containng sweetening matter",11574809,21100,549,0
"NETHERLAND","Milk and cream, not in solid form, containng sweetening matter",85633892,314749,272,0
"UNITED KIN","Milk and cream, not in solid form, containng sweetening matter",6069894,31074,195,0
"UNITED STA","Milk and cream, not in solid form, containng sweetening matter",37366595,34910,1070,0
"FRANCE","Yogurt whether or not containing additives",539097,330,1634,0
"NETHERLAND","Yogurt whether or not containing additives",168555,380,444,0
"UNITED KIN","Yogurt whether or not containing additives",413242,1620,255,0
"BELGIUM","Buttermilk, curdled milk or cream, whether or not containing additives",96156442,311805,308,0.01
"GERMANY, F","Buttermilk, curdled milk or cream, whether or not containing additives",313510,200,1568,0
"UNITED KIN","Buttermilk, curdled milk or cream, whether or not containing additives",2929316,14161,207,0
"INDIA","Ice cream and other edible ice whether or not containing additives",731268,409,1788,0
"UNITED KIN","Ice cream and other edible ice whether or not containing additives",598899,1375,436,0
"UNITED STA","Ice cream and other edible ice whether or not containing additives",5842321,3611,1618,0
"CANADA","Whey",17114389,36000,475,0
"NETHERLAND","Whey",211484,100,2115,0
"UNITED KIN","Products consisting of natural milk constituents, nes",71519,70,1022,0
"FRANCE","Butter and other fats and oils derived from milk",145038729,143312,1012,0.01
"NETHERLAND","Butter and other fats and oils derived from milk",45941099,32735,1403,0
"NEW ZEALAN","Butter and other fats and oils derived from milk",445628457,411364,1083,0.02
"UNITED KIN","Butter and other fats and oils derived from milk",2122718,5001,424,0
"UNITED STA","Butter and other fats and oils derived from milk",1510313,2910,519,0
"ITALY","Processed cheese, not grated or powdered",1910742,400,4777,0
"LEBANON","Processed cheese, not grated or powdered",108070,120,901,0
"UNITED STA","Processed cheese, not grated or powdered",2355920,3800,620,0
"ITALY","Fresh cheese (including whey chees) not fermented, and curd",3063212,400,7658,0
"UNITED KIN","Fresh cheese (including whey chees) not fermented, and curd",123626,233,531,0
"UNITED STA","Fresh cheese (including whey chees) not fermented, and curd",1803,1,1803,0
"DENMARK","Other cheese, nes",530082,924,574,0
"FRANCE","Other cheese, nes",6801517,9610,708,0
"GERMANY, F","Other cheese, nes",33485,4,8371,0
"INDONESIA","Other cheese, nes",1622099,1900,854,0
"ITALY","Other cheese, nes",33905881789,2064,16427268,1.81
"LEBANON","Other cheese, nes",1174679,970,1211,0
"NETHERLAND","Other cheese, nes",1224594,484,2530,0
"NEW ZEALAN","Other cheese, nes",2943698,1680,1752,0
"UNITED KIN","Other cheese, nes",7314185,6581,1111,0
"UNITED STA","Other cheese, nes",8631663,5545,1557,0
"DENMARK","Birds' eggs, in shell, fresh, preserved or cooked",11930319,4416,2702,0
"NETHERLAND","Birds' eggs, in shell, fresh, preserved or cooked",60942914,17294,3524,0
"UNITED KIN","Birds' eggs, in shell, fresh, preserved or cooked",102698,837,123,0
"HIGH SEAS","Herrings, sardines, sardinella, fresh or chilled (excl. livers and roes)",19652075,65000,302,0
"UNITED KIN","Cod, fresh or chilled (excl. Livers and roes)",15043,110,137,0
"USSR","Mackerel, (scombrids), fresh or chilled (excl. livers and roes)",185138050,500001,370,0.01
"UNITED KIN","Salmonidae, frozen (excl. livers and roes)",13305,6,2218,0
"UNITED STA","Salmonidae, frozen (excl. livers and roes)",69716,20,3486,0
"MOROCO","Flat fish, frozen (excl. livers and roes)",2280905,11739,194,0
"HIGH SEAS","Tunas, skipjack, etc, frozen (excl. livers and roes)",2748912259,2409786,1141,0.15
"HIGH SEAS","Herrings, sardines, sardinella, etc, frozen (excl. livers and roes)",37923480,122,310848,0
"HONG KONG","Herrings, sardines, sardinella, etc, frozen (excl. livers and roes)",11920,50,238,0
"MAURITANIA","Herrings, sardines, sardinella, etc, frozen (excl. livers and roes)",97979344,58137,1685,0.01
"NORWAY","Herrings, sardines, sardinella, etc, frozen (excl. livers and roes)",50155050,4100,12233,0
"SENEGAL","Herrings, sardines, sardinella, etc, frozen (excl. livers and roes)",191054948,26610,7180,0.01
"UNITED KIN","Herrings, sardines, sardinella, etc, frozen (excl. livers and roes)",4207,9,457,0
"UNITED KIN","Cod, frozen (excl. livers and roes)",46857,19,2466,0
"DENMARK","Mackerel, (scombrids), frozen (excl. livers and roes)",318285994,1000,318286,0.02
"IRELAND","Mackerel, (scombrids), frozen (excl. livers and roes)",174906626,534260,327,0.01
"MAURITANIA","Mackerel, (scombrids), frozen (excl. livers and roes)",3423558,15450,222,0
"NAMIBIA","Mackerel, (scombrids), frozen (excl. livers and roes)",653072443,18679,34963,0.03
"NETHERLAND","Mackerel, (scombrids), frozen (excl. livers and roes)",1614844877,4702325,343,0.09
"NORWAY","Mackerel, (scombrids), frozen (excl. livers and roes)",2073655804,1779714,1165,0.11
"UNITED KIN","Mackerel, (scombrids), frozen (excl. livers and roes)",431612900,620519,696,0.02
"UNITED STA","Mackerel, (scombrids), frozen (excl. livers and roes)",1558988734,6500,239844,0.08
"GERMANY, F","Other fish, frozen (excl. livers and roes)",37923480,122,310848,0
"HIGH SEAS","Other fish, frozen (excl. livers and roes)",755003502,823672,917,0.04
"TOGO","Other fish, frozen (excl. livers and roes)",5332800,20,266640,0
"UNITED KIN","Other fish, frozen (excl. livers and roes)",73798,335,220,0
"UNITED STA","Livers and roes of fish, frozen fish",11454048,406,28212,0
"HIGH SEAS","Fillets of fish, frozen",35287200,150,235248,0
"NETHERLAND","Fillets of fish, frozen",2264049,831,2724,0
"UNITED KIN","Fillets of fish, frozen",315147,709,444,0
"BULGARIA","Fish fillets and other fish meat, nes, fresh or chilled",25379468,100,253795,0
"HIGH SEAS","Fish fillets and other fish meat, nes, fresh or chilled",438656029,31675805,14,0.02
"UNITED KIN","Fish meat (other than fillets), frozen",77873,420,185,0
"UNITED STA","Fish meat (other than fillets), frozen",230337457,707100,326,0.01
"UNITED KIN","Cod (not in fillets), dried, whether or not salted but not smoked",15650,8,1956,0
"HONG KONG","Fillets of fish, dried, salted or in brine but not smoked",363605,140,2597,0
"UNITED KIN","Fillets of fish, dried, salted or in brine but not smoked",40493,16,2531,0
"GAMBIA","Fish, dried, whether or not salted (excl. cod) but not smoked",63236410,849405,74,0
"SENEGAL","Fish, dried, whether or not salted (excl. cod) but not smoked",10587417,158000,67,0
"UNITED KIN","Other fish, salted but not dried or smoked and fish in brine",91310,311,294,0
"NETHERLAND","Fish (incl. Fillets), smoked",104304,281,371,0
"UNITED KIN","Fish (incl. Fillets), smoked",65196,28,2328,0
"NETHERLAND","Other crustaceans, nes, frozen",115387,285,405,0
"HONG KONG","Crustaceans, other than frozen",18631,48,388,0
"BELGIUM","Salmon, whole or in pieces, but not minced, prepared or perserved",3955,8,494,0
"INDONESIA","Salmon, whole or in pieces, but not minced, prepared or perserved",55730129,111000,502,0
"UNITED KIN","Salmon, whole or in pieces, but not minced, prepared or perserved",195011,715,273,0
"BELGIUM","Herrings, sardines, etc, whole  or in pieces, but not mminced, prepared, etc.",3606,5,721,0
"CAMEROON,","Herrings, sardines, etc, whole  or in pieces, but not mminced, prepared, etc.",24755791,21643,1144,0
"BENIN","Herrings, sardines, etc, whole  or in pieces, but not mminced, prepared, etc.",71482692,50895,1405,0
"FRANCE","Herrings, sardines, etc, whole  or in pieces, but not mminced, prepared, etc.",36783630,58000,634,0
"GERMANY, F","Herrings, sardines, etc, whole  or in pieces, but not mminced, prepared, etc.",314433806,65811408,5,0.02
"INDONESIA","Herrings, sardines, etc. whole or in pieces, but not minced, prepared, etc.",57272427,251000,228,0
"ITALY","Herrings, sardines, etc. whole or in pieces, but not minced, prepared, etc.",59236,46,1288,0
"JAPAN","Herrings, sardines, etc. whole or in pieces, but not minced, prepared, etc.",440689260,111653475,4,0.02
"MOROCO","Herrings, sardines, etc. whole or in pieces, but not minced, prepared, etc.",161992025,180490,898,0.01
"NETHERLAND","Herrings, sardines, etc. whole or in pieces, but not minced, prepared, etc.",156780,5,31356,0
"SINGAPORE","Herrings, sardines, etc. whole or in pieces, but not minced, prepared, etc.",53766188,92855,579,0
"SPAIN","Herrings, sardines, etc. whole or in pieces, but not minced, prepared, etc.",18751200,20000,938,0
"THAILAND","Herrings, sardines, etc. whole or in pieces, but not minced, prepared, etc.",64359287,256619,251,0
"UNITED KIN","Herrings, sardines, etc. whole or in pieces, but not minced, prepared, etc.",22473931,22264,1009,0
"ITALY","Tunas, skipjack, etc, whole or in pieces, but not minced, prepared, etc.",296863,700,424,0
"LEBANON","Tunas, skipjack, etc, whole or in pieces, but not minced, prepared, etc.",189390,240,789,0
"UNITED KIN","Tunas, skipjack, etc, whole or in pieces, but not minced, prepared, etc.",142228,580,245,0
"BENIN","Mackerel, whole or in pieces, but not minced, prepared or preserved",13337993,15500,861,0
"DENMARK","Mackerel, whole or in pieces, but not minced, prepared or preserved",127606,1760,73,0
"INDONESIA","Mackerel, whole or in pieces, but not minced, prepared or preserved",13026074,60000,217,0
"SINGAPORE","Mackerel, whole or in pieces, but not minced, prepared or preserved",58282604,101700,573,0
"THAILAND","Mackerel, whole or in pieces, but not minced, prepared or preserved",186764571,226293,825,0.01
"UNITED KIN","Mackerel, whole or in pieces, but not minced, prepared or preserved",890013,1325,672,0
"FRANCE","Other fish, whole or in pieces, but not minced, prepared or preserved",5409,200,27,0
"ITALY","Other fish, whole or in pieces, but not minced, prepared or preserved",159034,120,1325,0
"UNITED KIN","Other fish, whole or in pieces, but not minced, prepared or preserved",19404,18,1078,0
"DENMARK","Fish, prepared or preserved, nes (incl. Minced)",242890,750,324,0
"ITALY","Fish, prepared or preserved, nes (incl. Minced)",969280,50,19386,0
"UNITED KIN","Fish, prepared or preserved, nes (incl. Minced)",1117663,2476,451,0
"ITALY","Crustaceans, prepared or preserved, nes",382720,5,76544,0
"KOREA DEMO","Crustaceans, prepared or preserved, nes",42671,9,4741,0
"KOREA DEMO","Molluscs and other aquatic invertebrates, prepared or preserved, nes",75726,13,5825,0
"UNITED KIN","Molluscs and other aquatic invertebrates, prepared or preserved, nes",53112,245,217,0
"LEBANON","Other wheat (incl. Spelt) and mesalin, unmilled",272854,1248,219,0
"UNITED KIN","Other wheat (incl. Spelt) and mesalin, unmilled",1157464,376,3078,0
"UNITED STA","Other wheat (incl. Spelt) and mesalin, unmilled",8732928108,15760452,554,0.47
"UNITED KIN","Rice in the (paddy or rough rice)",85943,310,277,0
"UNITED STA","Rice husked but not further prepared",4046,20,202,0
"BURMA","Rice, semi-milled or wholly milled glazed, parboiled or converted",370122480,4973829,74,0.02
"CANADA","Rice, semi-milled or wholly milled glazed, parboiled or converted",13524,60,225,0
"CHINA","Rice, semi-milled or wholly milled glazed, parboiled or converted",7701772403,51583001,149,0.41
"DOMINICAN","Rice, semi-milled or wholly milled glazed, parboiled or converted",5363925,21250,252,0
"GERMANY, F","Rice, semi-milled or wholly milled glazed, parboiled or converted",12621,10,1262,0
"ITALY","Rice, semi-milled or wholly milled glazed, parboiled or converted",119209956,450200,265,0.01
"NETHERLAND","Rice, semi-milled or wholly milled glazed, parboiled or converted",62318,8,7790,0
"PAKISTAN","Rice, semi-milled or wholly milled glazed, parboiled or converted",94291792,38758,2433,0.01
"SINGAPORE","Rice, semi-milled or wholly milled glazed, parboiled or converted",41704390,616563,68,0
"VIET NAM","Rice, semi-milled or wholly milled glazed, parboiled or converted",557927520,4e+06,139,0.03
"SPAIN","Rice, semi-milled or wholly milled glazed, parboiled or converted",963403,1208,798,0
"THAILAND","Rice, semi-milled or wholly milled glazed, parboiled or converted",687408837,1783685,385,0.04
"UNITED KIN","Rice, semi-milled or wholly milled glazed, parboiled or converted",496470,2232,222,0
"UNITED STA","Rice, semi-milled or wholly milled glazed, parboiled or converted",1967157578,393066,5055,0.1
"CANADA","Broken rice",49204,202,244,0
"CHINA","Broken rice",1042574177,9000,115842,0.06
"GERMANY, F","Broken rice",208012,199,1045,0
"INDONESIA","Broken rice",605078681,96200,6290,0.3
"ITALY","Broken rice",67600,20,3380,0
"NETHERLAND","Broken rice",7212,50,144,0.22
"PAKISTAN","Broken rice",4100344136,242363219,17,0
"SINGAPORE","Broken rice",4926264,21000,235,0
"UNITED KIN","Broken rice",486740,18129,27,0
"UNITED STA","Broken rice",137474,2030,68,0
"UNITED KIN","Barley, unmilled",1803,4,451,0
"FRANCE","Urmilled maize (excl. seed)",528125542,4528,116635,0.03
"NETHERLAND","Urmilled maize (excl. seed)",243235,28,8687,0
"UNITED STA","Urmilled maize (excl. seed)",8346062,63875,131,0
